# Plantilla TAB-separada para run_pipeline_from_template.sh
# Columnas:
# ANALYSIS_NAME	OUTDIR_BASE	Q_TX	Q_PR	Q_ME	Q_CL	PANEL_CHOICE	CLINICAL_INCLUDE	CLINICAL_EXCLUDE	MODEL_SOURCE	DIAG_TARGET
#
# Diseño del barrido:
# - Q_TX = Q_ME en: 0.80, 0.85, 0.90, 0.95, 0.97 y 0.99.
# - Q_CL y Q_PR recorren 0.20-0.70 en pasos de 0.05 y en sentidos opuestos.
# - El orden alterna los extremos hasta llegar al punto balanceado Q_CL=Q_PR=0.45.
# - Total: 66 escenarios.
#
# Importante:
# - No uses comillas.
# - No metas TABs dentro de nombres de variables.
# - MODEL_SOURCE=NEW para corrida fresca.
# - DIAG_TARGET=BOTH genera diagnostico_bayes_features y diagnostico_panel_final.
ANALYSIS_NAME	OUTDIR_BASE	Q_TX	Q_PR	Q_ME	Q_CL	PANEL_CHOICE	CLINICAL_INCLUDE	CLINICAL_EXCLUDE	MODEL_SOURCE	DIAG_TARGET
P1_ALL_qtx00_qpr00_qme00_qcl00	./escenarios	0.00	0.00	0.00	0.00	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr70_qme80_qcl20	./escenarios	0.80	0.70	0.80	0.20	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr20_qme80_qcl70	./escenarios	0.80	0.20	0.80	0.70	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr65_qme80_qcl25	./escenarios	0.80	0.65	0.80	0.25	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr25_qme80_qcl65	./escenarios	0.80	0.25	0.80	0.65	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr60_qme80_qcl30	./escenarios	0.80	0.60	0.80	0.30	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr30_qme80_qcl60	./escenarios	0.80	0.30	0.80	0.60	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr55_qme80_qcl35	./escenarios	0.80	0.55	0.80	0.35	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr35_qme80_qcl55	./escenarios	0.80	0.35	0.80	0.55	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx80_qpr50_qme80_qcl40	./escenarios	0.80	0.50	0.80	0.40	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
